"ITEM","CODE","VALUE","SCORE","UNWTD","UNWTD %","WTD","WTD %","AVGE MEAS","P.SD MEAS","S.E. MEAS","INFIT MNSQ","OUTFIT MNSQ","PTMA","LABEL"
1,"*",0,0,38,16.5939,38.0000,16.5939,-1.1372,.9984,.1641,1.0417,.9136,-.2381,"MAT01"
1,"A",0,0,55,24.0175,55.0000,24.0175,-.7427,.6372,.0867,1.0659,1.0927,-.0736,"MAT01"
1,"B",0,0,33,14.4105,33.0000,14.4105,-.8355,.5722,.1011,.8962,.9417,-.1193,"MAT01"
1,"C",0,0,43,18.7773,43.0000,18.7773,-.8047,.5097,.0787,.9049,.9552,-.1147,"MAT01"
1,"D",1,1,60,26.2009,60.0000,26.2009,-.4121,.6770,.0881,1.0043,1.0059,.2723,"MAT01"
2,"*",0,0,21,9.1703,21.0000,9.1703,-1.3688,.8655,.1935,.7573,.6683,-.2702,"MAT02"
2,"A",0,0,50,21.8341,50.0000,21.8341,-.7309,.6506,.0929,1.1078,1.1341,-.0387,"MAT02"
2,"B",0,0,65,28.3843,65.0000,28.3843,-.5466,.6108,.0764,1.2496,1.3382,.1347,"MAT02"
2,"C",1,1,64,27.9476,64.0000,27.9476,-.6319,.5879,.0741,1.1811,1.1906,.0503,"MAT02"
2,"D",0,0,29,12.6638,29.0000,12.6638,-1.0242,.9379,.1772,1.1046,1.0179,-.1997,"MAT02"
3,"*",0,0,28,12.2271,28.0000,12.2271,-1.0848,.9321,.1794,1.0593,.9635,-.1725,"MAT03"
3,"A",0,0,25,10.9170,25.0000,10.9170,-.6518,.5910,.1206,1.1440,1.2019,.0262,"MAT03"
3,"B",0,0,38,16.5939,38.0000,16.5939,-.6728,.5308,.0873,1.0613,1.1193,.0187,"MAT03"
3,"C",0,0,70,30.5677,70.0000,30.5677,-.7932,.6253,.0753,1.0114,1.0309,-.0998,"MAT03"
3,"D",1,1,68,29.6943,68.0000,29.6943,-.6354,.8299,.1014,1.1965,1.5928,.0668,"MAT03"
4,"*",0,0,24,10.4803,24.0000,10.4803,-1.5846,.8719,.1818,.6036,.5404,-.3919,"MAT04"
4,"A",1,1,91,39.7380,91.0000,39.7380,-.3789,.6186,.0652,.9141,.8810,.3728,"MAT04"
4,"B",0,0,36,15.7205,36.0000,15.7205,-.8462,.4926,.0833,.9422,.9672,-.1413,"MAT04"
4,"C",0,0,40,17.4672,40.0000,17.4672,-.7918,.6605,.1058,1.0911,1.1102,-.1093,"MAT04"
4,"D",0,0,38,16.5939,38.0000,16.5939,-.9557,.5640,.0927,.8847,.8929,-.2269,"MAT04"
5,"*",0,0,26,11.3537,26.0000,11.3537,-1.4815,.9686,.1937,.7732,.6622,-.3595,"MAT05"
5,"A",0,0,21,9.1703,21.0000,9.1703,-.8157,.4552,.1018,.8994,.9456,-.0870,"MAT05"
5,"B",1,1,75,32.7511,75.0000,32.7511,-.4024,.6899,.0802,.9730,.9954,.3004,"MAT05"
