";ITEM  RASCH  May 18 2023 15:55"
"ENTRY","MEASURE","STATUS","COUNT","SCORE","MODLSE","IN.MSQ","IN.ZSTD","OUT.MSQ","OUT.ZSTD","DISPLACE","PTMA","WEIGHT","OBSMATCH","EXPMATCH","PTMA-E","RMSR","WMLE","INDF","OUTDF","GROUPING","MODEL","RECODE","NAME"
1,.40,1,229.0000,60.0000,.16,.9952,-.0390,1.0007,.0410,.00,.2723,1.0000,75.546,74.448,.2705,.4208,.40,359.36,159.47,"1","R","K","MAT01"
2,.31,1,229.0000,64.0000,.15,1.1324,1.8511,1.1745,1.6212,.00,.0976,1.0000,68.559,72.945,.2757,.4574,.31,413.63,182.98,"1","R","K","MAT02"
3,.21,1,229.0000,68.0000,.15,1.1041,1.5711,1.4359,3.9714,.00,.0988,1.0000,68.122,71.533,.2804,.4593,.21,474.36,209.45,"1","R","K","MAT03"
4,-.28,1,229.0000,91.0000,.14,.9207,-1.7591,.8941,-1.5891,.00,.4080,1.0000,68.559,65.285,.3005,.4468,-.28,952.12,429.86,"1","R","K","MAT04"
5,.06,1,229.0000,75.0000,.15,.9645,-.5990,.9809,-.1890,.00,.3282,1.0000,73.362,69.319,.2878,.4401,.06,597.50,263.85,"1","R","K","MAT05"
6,.38,1,229.0000,61.0000,.16,1.0038,.0810,1.0563,.5411,.00,.2544,1.0000,75.109,74.063,.2718,.4247,.38,372.35,165.08,"1","R","K","MAT06"
7,.10,1,229.0000,73.0000,.15,.9915,-.1190,1.0224,.2810,.00,.2905,1.0000,69.869,69.916,.2858,.4433,.10,560.07,247.20,"1","R","K","MAT07"
8,1.13,1,229.0000,35.0000,.19,1.0637,.5511,1.1105,.6511,.00,.1403,1.0000,84.279,84.748,.2248,.3602,1.13,132.58,61.55,"1","R","K","MAT08"
9,.21,1,229.0000,68.0000,.15,1.0851,1.3011,1.1287,1.3011,.00,.1582,1.0000,69.869,71.533,.2804,.4554,.21,474.36,209.45,"1","R","K","MAT09"
10,.50,1,229.0000,56.0000,.16,1.0474,.6110,.9953,.0010,.00,.2187,1.0000,74.236,75.993,.2648,.4226,.50,311.02,138.61,"1","R","K","MAT10"
