";PERSON  RASCH  May 18 2023 15:55"
"ENTRY","MEASURE","STATUS","COUNT","SCORE","MODLSE","IN.MSQ","IN.ZSTD","OUT.MSQ","OUT.ZSTD","DISPLACE","PTMA","WEIGHT","OBSMATCH","EXPMATCH","PTMA-E","RMSR","WMLE","INDF","OUTDF","NAME"
1,.12,1,40.0000,21.0000,.33,.8172,-2.1492,.7806,-2.0092,.00,.5671,1.0000,72.500,61.768,.2974,.4309,.12,250.29,149.11,"04069"
2,-1.20,1,40.0000,10.0000,.38,.8540,-.7291,.7635,-.9492,.00,.5072,1.0000,75.000,76.001,.2812,.3833,-1.17,53.42,32.23,"04070"
3,-.44,1,40.0000,16.0000,.34,.8422,-1.4692,.8091,-1.4592,.00,.5317,1.0000,72.500,65.335,.3006,.4286,-.43,162.33,107.87,"04071"
4,-.67,1,40.0000,14.0000,.35,.7519,-2.0192,.7082,-1.9293,.00,.6541,1.0000,80.000,68.330,.2975,.3945,-.66,114.72,74.33,"04072"
5,-.80,1,40.0000,13.0000,.35,.9877,-.0390,.9537,-.1990,.00,.3239,1.0000,67.500,70.192,.2948,.4444,-.78,95.38,60.72,"04073"
6,-.92,1,40.0000,12.0000,.36,1.2802,1.6713,1.3417,1.6013,.00,-.1109,1.0000,60.000,72.099,.2913,.4954,-.90,78.95,49.35,"04074"
7,-1.20,1,40.0000,10.0000,.38,.9309,-.2991,.8681,-.4691,.00,.3924,1.0000,75.000,76.001,.2812,.4002,-1.17,53.42,32.23,"04075"
8,-.55,1,40.0000,15.0000,.34,1.0890,.7611,1.1069,.7411,.00,.1676,1.0000,60.000,66.761,.2994,.4817,-.54,137.13,90.20,"04076"
9,-1.69,1,40.0000,7.0000,.43,1.0874,.4111,1.1739,.5912,.00,.1035,1.0000,85.000,82.541,.2564,.3821,-1.63,28.10,16.26,"04077"
10,-1.20,1,40.0000,10.0000,.38,1.0726,.4311,1.0471,.2710,.00,.1865,1.0000,75.000,76.001,.2812,.4296,-1.17,53.42,32.23,"04078"
11,-1.20,1,40.0000,10.0000,.38,.8010,-1.0392,.7197,-1.1693,.00,.5725,1.0000,80.000,76.001,.2812,.3713,-1.17,53.42,32.23,"04079"
12,-1.35,1,40.0000,9.0000,.39,1.0929,.4911,1.1429,.5811,.00,.1322,1.0000,77.500,78.136,.2745,.4190,-1.31,43.57,25.87,"04080"
13,-.92,1,40.0000,12.0000,.36,1.0962,.6411,1.0134,.1310,.00,.1906,1.0000,65.000,72.099,.2913,.4584,-.90,78.95,49.35,"04081"
14,-.10,1,40.0000,19.0000,.33,.9167,-.8991,.9083,-.7891,.00,.4195,1.0000,65.000,62.324,.3004,.4559,-.10,237.00,152.77,"04082"
15,-1.20,1,40.0000,10.0000,.38,1.2489,1.2612,1.2566,1.0413,.00,-.0567,1.0000,70.000,76.001,.2812,.4636,-1.17,53.42,32.23,"04083"
16,-1.35,1,40.0000,9.0000,.39,1.1617,.7912,1.2686,.9813,.00,.0253,1.0000,72.500,78.136,.2745,.4319,-1.31,43.57,25.87,"04084"
